R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
3212.0,3202.0,3833.0,3813.0,3136.0,3134.0,3387.0,3379.0,4568.0,4572.0,4602.0,4604.0,9480.0,9472.0,11200.0,11171.0,2018-11-01 15:40:47
3208.0,3202.0,3800.0,3813.0,3135.0,3134.0,3373.0,3379.0,4569.0,4572.0,4603.0,4604.0,9477.0,9472.0,11150.0,11171.0,2018-11-01 15:42:47
3217.0,3202.0,3797.0,3813.0,3137.0,3134.0,3372.0,3379.0,4572.0,4572.0,4602.0,4604.0,9483.0,9472.0,11146.0,11171.0,2018-11-01 15:44:48
3212.0,3202.0,3794.0,3813.0,3136.0,3134.0,3371.0,3379.0,4567.0,4572.0,4602.0,4604.0,9479.0,9472.0,11141.0,11171.0,2018-11-01 15:46:48
3197.0,3202.0,3803.0,3813.0,3132.0,3134.0,3374.0,3379.0,4571.0,4572.0,4602.0,4604.0,9465.0,9472.0,11152.0,11171.0,2018-11-01 15:48:48
3204.0,3202.0,3800.0,3813.0,3133.0,3134.0,3373.0,3379.0,4569.0,4572.0,4602.0,4604.0,9470.0,9472.0,11147.0,11171.0,2018-11-01 15:50:48
3200.0,3202.0,3807.0,3813.0,3133.0,3134.0,3376.0,3379.0,4570.0,4572.0,4602.0,4604.0,9468.0,9472.0,11159.0,11171.0,2018-11-01 15:52:48
3208.0,3202.0,3804.0,3813.0,3134.0,3134.0,3374.0,3379.0,4568.0,4572.0,4602.0,4604.0,9474.0,9472.0,11154.0,11171.0,2018-11-01 15:54:48
3203.0,3202.0,3801.0,3813.0,3133.0,3134.0,3373.0,3379.0,4570.0,4572.0,4601.0,4604.0,9470.0,9472.0,11149.0,11171.0,2018-11-01 15:56:48
3211.0,3202.0,3808.0,3813.0,3135.0,3134.0,3376.0,3379.0,4566.0,4572.0,4601.0,4604.0,9476.0,9472.0,11159.0,11171.0,2018-11-01 15:58:48
3196.0,3202.0,3805.0,3813.0,3131.0,3134.0,3375.0,3379.0,4570.0,4572.0,4601.0,4604.0,9462.0,9472.0,11155.0,11171.0,2018-11-01 16:00:49
3214.0,3202.0,3812.0,3813.0,3135.0,3134.0,3378.0,3379.0,4564.0,4572.0,4601.0,4604.0,9477.0,9472.0,11166.0,11171.0,2018-11-01 16:02:49
3197.0,3202.0,3808.0,3813.0,3131.0,3134.0,3375.0,3379.0,4569.0,4572.0,4601.0,4604.0,9463.0,9472.0,11159.0,11171.0,2018-11-01 16:04:49
3194.0,3202.0,3804.0,3813.0,3130.0,3134.0,3374.0,3379.0,4570.0,4572.0,4601.0,4604.0,9460.0,9472.0,11153.0,11171.0,2018-11-01 16:06:49
3202.0,3202.0,3816.0,3813.0,3132.0,3134.0,3379.0,3379.0,4568.0,4572.0,4601.0,4604.0,9467.0,9472.0,11171.0,11171.0,2018-11-01 16:08:49
3197.0,3202.0,3812.0,3813.0,3130.0,3134.0,3377.0,3379.0,4568.0,4572.0,4600.0,4604.0,9462.0,9472.0,11164.0,11171.0,2018-11-01 16:10:49
3205.0,3202.0,3821.0,3813.0,3132.0,3134.0,3380.0,3379.0,4566.0,4572.0,4601.0,4604.0,9469.0,9472.0,11177.0,11171.0,2018-11-01 16:12:50
3213.0,3202.0,3816.0,3813.0,3134.0,3134.0,3378.0,3379.0,4563.0,4572.0,4601.0,4604.0,9475.0,9472.0,11169.0,11171.0,2018-11-01 16:14:50
3207.0,3202.0,3825.0,3813.0,3132.0,3134.0,3382.0,3379.0,4564.0,4572.0,4600.0,4604.0,9469.0,9472.0,11182.0,11171.0,2018-11-01 16:16:50
3192.0,3202.0,3819.0,3813.0,3128.0,3134.0,3379.0,3379.0,4567.0,4572.0,4600.0,4604.0,9473.0,9472.0,11173.0,11171.0,2018-11-01 16:18:50
3210.0,3202.0,3814.0,3813.0,3133.0,3134.0,3377.0,3379.0,4562.0,4572.0,4599.0,4604.0,9470.0,9472.0,11165.0,11171.0,2018-11-01 16:20:50
3194.0,3202.0,3824.0,3813.0,3129.0,3134.0,3381.0,3379.0,4567.0,4572.0,4600.0,4604.0,9456.0,9472.0,11181.0,11171.0,2018-11-01 16:22:50
3200.0,3202.0,3819.0,3813.0,3130.0,3134.0,3379.0,3379.0,4566.0,4572.0,4599.0,4604.0,9462.0,9472.0,11172.0,11171.0,2018-11-01 16:24:50
3197.0,3202.0,3788.0,3813.0,3130.0,3134.0,3366.0,3379.0,4567.0,4572.0,4596.0,4604.0,9460.0,9472.0,11186.0,11171.0,2018-11-01 16:26:50
3203.0,3202.0,3824.0,3813.0,3131.0,3134.0,3380.0,3379.0,4565.0,4572.0,4599.0,4604.0,9465.0,9472.0,11178.0,11171.0,2018-11-01 16:28:51
3199.0,3202.0,3819.0,3813.0,3130.0,3134.0,3379.0,3379.0,4566.0,4572.0,4599.0,4604.0,9461.0,9472.0,11173.0,11171.0,2018-11-01 16:30:51
