R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
6557,6480,10053,10004,5156,5054,7475,7344,7147,6916,9150,8878,17932,17456,27465,26918,2018-10-22 13:23:13
6550,6480,10064,10004,5153,5054,7481,7344,7146,6916,9154,8878,17921,17456,27485,26918,2018-10-22 13:25:13
6517,6480,10070,10004,5138,5054,7484,7344,7137,6916,9155,8878,17863,17456,27498,26918,2018-10-22 13:27:13
6556,6480,10077,10004,5156,5054,7488,7344,7147,6916,9159,8878,17931,17456,27511,26918,2018-10-22 13:29:14
6547,6480,10083,10004,5152,5054,7491,7344,7146,6916,9162,8878,17916,17456,27526,26918,2018-10-22 13:31:14
6513,6480,10087,10004,5136,5054,7493,7344,7136,6916,9163,8878,17857,17456,27534,26918,2018-10-22 13:33:14
6550,6480,10090,10004,5154,5054,7495,7344,7148,6916,9164,8878,17925,17456,27540,26918,2018-10-22 13:35:14
6537,6480,10091,10004,5148,5054,7496,7344,7145,6916,9165,8878,17902,17456,27543,26918,2018-10-22 13:37:14
6504,6480,10089,10004,5132,5054,7494,7344,7135,6916,9164,8878,17974,17456,27537,26918,2018-10-22 13:39:14
6534,6480,10091,10004,5147,5054,7497,7344,7144,6916,9166,8878,17898,17456,27546,26918,2018-10-22 13:41:14
6504,6480,10094,10004,5133,5054,7498,7344,7136,6916,9167,8878,17975,17456,27551,26918,2018-10-22 13:43:14
6564,6480,10096,10004,5161,5054,7499,7344,7153,6916,9168,8878,17951,17456,27557,26918,2018-10-22 13:45:14
6526,6480,10102,10004,5143,5054,7502,7344,7143,6916,9171,8878,17884,17456,27572,26918,2018-10-22 13:47:15
6568,6480,10110,10004,5163,5054,7507,7344,7154,6916,9174,8878,17957,17456,27587,26918,2018-10-22 13:49:15
6556,6480,10119,10004,5158,5054,7511,7344,7152,6916,9176,8878,17938,17456,27602,26918,2018-10-22 13:51:15
6521,6480,10128,10004,5141,5054,7516,7344,7143,6916,9180,8878,17877,17456,27622,26918,2018-10-22 13:53:15
6561,6480,10138,10004,5160,5054,7522,7344,7154,6916,9184,8878,17947,17456,27643,26918,2018-10-22 13:55:15
6549,6480,10147,10004,5155,5054,7459,7344,7151,6916,9143,8878,17927,17456,27658,26918,2018-10-22 13:57:15
6515,6480,10017,10004,5139,5054,7461,7344,7142,6916,9146,8878,17869,17456,27671,26918,2018-10-22 13:59:17
6547,6480,10013,10004,5154,5054,7459,7344,7151,6916,9144,8878,17925,17456,27660,26918,2018-10-22 14:01:16
6533,6480,10144,10004,5148,5054,7458,7344,7149,6916,9144,8878,17903,17456,27658,26918,2018-10-22 14:03:16
6572,6480,10142,10004,5132,5054,7458,7344,7139,6916,9145,8878,17971,17456,27655,26918,2018-10-22 14:05:16
6528,6480,10140,10004,5146,5054,7457,7344,7149,6916,9145,8878,17898,17456,27654,26918,2018-10-22 14:07:16
6567,6480,10138,10004,5165,5054,7457,7344,7160,6916,9145,8878,17966,17456,27651,26918,2018-10-22 14:09:16
6548,6480,10134,10004,5157,5054,7523,7344,7156,6916,9146,8878,17937,17456,27646,26918,2018-10-22 14:11:16
6510,6480,10129,10004,5138,5054,7521,7344,7146,6916,9146,8878,17869,17456,27639,26918,2018-10-22 14:13:16
6539,6480,10125,10004,5152,5054,7519,7344,7155,6916,9188,8878,17921,17456,27630,26918,2018-10-22 14:15:17
6522,6480,10117,10004,5144,5054,7516,7344,7151,6916,9187,8878,17893,17456,27621,26918,2018-10-22 14:17:21
6557,6480,10114,10004,5161,5054,7515,7344,7161,6916,9188,8878,17957,17456,27617,26918,2018-10-22 14:19:17
6515,6480,10107,10004,5142,5054,7512,7344,7151,6916,9187,8878,17885,17456,27606,26918,2018-10-22 14:21:17
6512,6480,10132,10004,5141,5054,7525,7344,7151,6916,9153,8878,17881,17456,27655,26918,2018-10-22 14:23:17
