R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
5678,5674,5991,5961,4634,4623,5034,5010,6323,6304,6681,6655,15591,15557,16421,16323,2018-10-22 09:33:15
5649,5674,5980,5961,4628,4623,5039,5010,6339,6304,6700,6655,15645,15557,16440,16323,2018-10-22 09:35:15
5678,5674,6009,5961,4644,4623,5060,5010,6354,6304,6721,6655,15632,15557,16513,16323,2018-10-22 09:37:15
5659,5674,6034,5961,4640,4623,5050,5010,6361,6304,6717,6655,15615,15557,16557,16323,2018-10-22 09:39:15
5675,5674,6004,5961,4649,4623,5052,5010,6370,6304,6707,6655,15649,15557,16503,16323,2018-10-22 09:41:15
5654,5674,6031,5961,4642,4623,5067,5010,6373,6304,6719,6655,15625,15557,16560,16323,2018-10-22 09:43:16
7589,5674,6028,5961,6130,4623,5080,5010,8321,6304,6753,6655,20305,15557,16602,16323,2018-10-22 09:45:16
7548,5674,6054,5961,6115,4623,5095,5010,8322,6304,6765,6655,20249,15557,16653,16323,2018-10-22 09:47:16
7583,5674,6081,5961,6131,4623,5108,5010,8331,6304,6774,6655,20309,15557,16701,16323,2018-10-22 09:49:16
7554,5674,6050,5961,6121,4623,5097,5010,8331,6304,6774,6655,20269,15557,16663,16323,2018-10-22 09:51:16
5682,5674,7988,5961,4659,4623,6676,5010,6413,6304,8862,6655,15668,15557,21365,16323,2018-10-22 09:53:17
5717,5674,8021,5961,4675,4623,6692,5010,6409,6304,8863,6655,15725,15557,21425,16323,2018-10-22 09:55:16
5693,5674,7987,5961,4666,4623,6681,5010,6416,6304,8873,6655,15694,15557,21389,16323,2018-10-22 09:57:17
5673,5674,8011,5961,4659,4623,6693,5010,6417,6304,8882,6655,15666,15557,21431,16323,2018-10-22 09:59:17
7564,5674,7980,5961,6119,4623,6682,5010,8330,6304,8888,6655,20272,15557,21399,16323,2018-10-22 10:01:17
7600,5674,8001,5961,6134,4623,6693,5010,8336,6304,8897,6655,20331,15557,21438,16323,2018-10-22 10:03:17
7567,5674,8025,5961,6122,4623,6707,5010,8335,6304,8908,6655,20286,15557,21487,16323,2018-10-22 10:05:17
7582,5674,7992,5961,6129,4623,6696,5010,8339,6304,8910,6655,20313,15557,21446,16323,2018-10-22 10:07:17
7554,5674,8013,5961,6119,4623,6707,5010,8336,6304,8918,6655,20273,15557,21493,16323,2018-10-22 10:09:18
2349,5674,3611,5961,1507,4623,2361,5010,1628,6304,2595,6655,5776,15557,8442,16323,2018-10-22 10:35:20
2448,5674,2843,5961,1553,4623,1884,5010,1698,6304,1905,6655,5987,15557,6982,16323,2018-10-22 10:37:20
2335,5674,3002,5961,1535,4623,2112,5010,1698,6304,2257,6655,5908,15557,7687,16323,2018-10-22 10:39:20
5384,5674,5942,5961,4270,4623,4956,5010,5746,6304,6506,6655,14339,15557,16107,16323,2018-10-22 13:38:19
5633,5674,6117,5961,4536,4623,5161,5010,6170,6304,6886,6655,15198,15557,16792,16323,2018-10-22 13:41:46
5637,5674,6131,5961,4555,4623,5184,5010,6210,6304,6931,6655,15262,15557,16871,16323,2018-10-22 13:43:40
5637,5674,6174,5961,4566,4623,5213,5010,6237,6304,6964,6655,15300,15557,16975,16323,2018-10-22 13:45:40
5658,5674,6152,5961,4573,4623,5208,5010,6234,6304,6967,6655,15311,15557,16942,16323,2018-10-22 13:47:40
5643,5674,6209,5961,4577,4623,5244,5010,6261,6304,7002,6655,15322,15557,17065,16323,2018-10-22 13:49:41
5638,5674,6199,5961,4581,4623,5248,5010,6277,6304,7021,6655,15335,15557,17077,16323,2018-10-22 13:51:40
5676,5674,6235,5961,4602,4623,5268,5010,6294,6304,7038,6655,15412,15557,17147,16323,2018-10-22 13:53:41
5652,5674,6219,5961,4596,4623,5267,5010,6303,6304,7049,6655,15390,15557,17140,16323,2018-10-22 13:55:41
5689,5674,6252,5961,4615,4623,5284,5010,6315,6304,7061,6655,15460,15557,17203,16323,2018-10-22 13:57:41
5672,5674,6230,5961,4610,4623,5278,5010,6320,6304,7067,6655,15443,15557,17180,16323,2018-10-22 13:59:41
5695,5674,6259,5961,4622,4623,5293,5010,6328,6304,7077,6655,15485,15557,17235,16323,2018-10-22 14:01:41
5679,5674,6240,5961,4617,4623,5288,5010,6332,6304,7082,6655,15468,15557,17215,16323,2018-10-22 14:03:41
5664,5674,6268,5961,4613,4623,5302,5010,6334,6304,7092,6655,15450,15557,17266,16323,2018-10-22 14:05:42
5681,5674,6244,5961,4622,4623,5294,5010,6341,6304,7095,6655,15484,15557,17237,16323,2018-10-22 14:07:42
5718,5674,6271,5961,4616,4623,5308,5010,6342,6304,7104,6655,15545,15557,17284,16323,2018-10-22 14:09:42
5694,5674,6246,5961,4629,4623,5299,5010,6349,6304,7105,6655,15512,15557,17251,16323,2018-10-22 14:11:42
5714,5674,6268,5961,4638,4623,5310,5010,6354,6304,7112,6655,15547,15557,17292,16323,2018-10-22 14:13:45
5691,5674,6245,5961,4630,4623,5302,5010,6354,6304,7113,6655,15516,15557,17262,16323,2018-10-22 14:15:42
5674,5674,6267,5961,4624,4623,5313,5010,6354,6304,7119,6655,15493,15557,17302,16323,2018-10-22 14:17:44
5689,5674,6291,5961,4631,4623,5323,5010,6359,6304,7124,6655,15520,15557,17340,16323,2018-10-22 14:19:44
5723,5674,6264,5961,4645,4623,5313,5010,6364,6304,7124,6655,15572,15557,17303,16323,2018-10-22 14:21:44
5700,5674,6285,5961,4637,4623,5323,5010,6364,6304,7128,6655,15540,15557,17341,16323,2018-10-22 14:23:44
5717,5674,6259,5961,4644,4623,5313,5010,6367,6304,7127,6655,15570,15557,17301,16323,2018-10-22 14:25:45
5694,5674,6280,5961,4635,4623,5322,5010,6366,6304,7131,6655,15535,15557,17337,16323,2018-10-22 14:27:43
5725,5674,6303,5961,4649,4623,5333,5010,6371,6304,7135,6655,15586,15557,17374,16323,2018-10-22 14:29:43
5688,5674,6273,5961,4634,4623,5321,5010,6368,6304,7133,6655,15530,15557,17331,16323,2018-10-22 14:35:35
5716,5674,6296,5961,4645,4623,5331,5010,6372,6304,7137,6655,15575,15557,17366,16323,2018-10-22 14:35:35
5693,5674,6269,5961,4636,4623,5319,5010,6370,6304,7135,6655,15541,15557,17325,16323,2018-10-22 14:35:44
5723,5674,6286,5961,4649,4623,5327,5010,6375,6304,7139,6655,15590,15557,17356,16323,2018-10-22 14:37:44
5692,5674,6317,5961,4637,4623,5341,5010,6373,6304,7138,6655,15543,15557,17404,16323,2018-10-22 14:39:44
5717,5674,6283,5961,4647,4623,5327,5010,6377,6304,7141,6655,15583,15557,17352,16323,2018-10-22 14:41:50
5694,5674,6302,5961,4638,4623,5336,5010,6374,6304,7144,6655,15547,15557,17385,16323,2018-10-22 14:43:44
5707,5674,6275,5961,4644,4623,5325,5010,6377,6304,7143,6655,15570,15557,17345,16323,2018-10-22 14:45:44
5739,5674,6290,5961,4635,4623,5331,5010,6374,6304,7144,6655,15618,15557,17369,16323,2018-10-22 14:47:46
5711,5674,6310,5961,4645,4623,5339,5010,6379,6304,7147,6655,15576,15557,17400,16323,2018-10-22 14:49:45
5726,5674,6280,5961,4652,4623,5327,5010,6381,6304,7144,6655,15602,15557,17355,16323,2018-10-22 14:51:45
5700,5674,6296,5961,4641,4623,5334,5010,6378,6304,7147,6655,15561,15557,17380,16323,2018-10-22 14:53:46
5727,5674,6315,5961,4652,4623,5343,5010,6383,6304,7150,6655,15604,15557,17411,16323,2018-10-22 14:55:45
5742,5674,6282,5961,4637,4623,5329,5010,6378,6304,7147,6655,15629,15557,17361,16323,2018-10-22 14:57:46
5716,5674,6304,5961,4649,4623,5338,5010,6382,6304,7151,6655,15589,15557,17396,16323,2018-10-22 14:59:45
5694,5674,6323,5961,4639,4623,5347,5010,6380,6304,7154,6655,15554,15557,17426,16323,2018-10-22 15:01:45
5704,5674,6289,5961,4644,4623,5333,5010,6383,6304,7151,6655,15572,15557,17377,16323,2018-10-22 15:03:46
5729,5674,6306,5961,4654,4623,5340,5010,6385,6304,7153,6655,15610,15557,17402,16323,2018-10-22 15:05:46
5703,5674,6326,5961,4644,4623,5349,5010,6384,6304,7156,6655,15571,15557,17433,16323,2018-10-22 15:07:46
5715,5674,6292,5961,4649,4623,5335,5010,6386,6304,7153,6655,15589,15557,17383,16323,2018-10-22 15:09:46
5693,5674,6310,5961,4640,4623,5343,5010,6383,6304,7156,6655,15640,15557,17413,16323,2018-10-22 15:11:46
5715,5674,6330,5961,4649,4623,5352,5010,6386,6304,7159,6655,15592,15557,17442,16323,2018-10-22 15:13:46
5728,5674,6295,5961,4655,4623,5337,5010,6387,6304,7154,6655,15611,15557,17390,16323,2018-10-22 15:15:47
5702,5674,6314,5961,4644,4623,5345,5010,6384,6304,7158,6655,15570,15557,17420,16323,2018-10-22 15:17:47
5728,5674,6335,5961,4655,4623,5333,5010,6387,6304,7155,6655,15612,15557,17454,16323,2018-10-22 15:19:47
5696,5674,6305,5961,4642,4623,5342,5010,6383,6304,7158,6655,15562,15557,17408,16323,2018-10-22 15:21:47
5719,5674,6325,5961,4652,4623,5351,5010,6386,6304,7162,6655,15599,15557,17441,16323,2018-10-22 15:23:47
5696,5674,6292,5961,4641,4623,5337,5010,6383,6304,7157,6655,15560,15557,17390,16323,2018-10-22 15:25:47
5705,5674,6307,5961,4645,4623,5344,5010,6383,6304,7160,6655,15575,15557,17416,16323,2018-10-22 15:27:48
5730,5674,6325,5961,4656,4623,5352,5010,6387,6304,7162,6655,15615,15557,17443,16323,2018-10-22 15:29:48
5705,5674,6294,5961,4645,4623,5339,5010,6384,6304,7159,6655,15575,15557,17396,16323,2018-10-22 15:31:47
5715,5674,6310,5961,4649,4623,5345,5010,6384,6304,7162,6655,15590,15557,17420,16323,2018-10-22 15:33:48
5746,5674,6330,5961,4662,4623,5355,5010,6381,6304,7166,6655,15638,15557,17453,16323,2018-10-22 15:35:48
5715,5674,6296,5961,4649,4623,5340,5010,6383,6304,7160,6655,15590,15557,17400,16323,2018-10-22 15:37:48
