R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
5221,5206,6776,6848,4566,4549,5383,5399,6452,6435,6826,6813,2018-11-07 16:56:21
5201,5206,6812,6848,4574,4549,5418,5399,6471,6435,6924,6813,2018-11-07 16:58:21
5189,5206,6776,6848,4573,4549,5422,5399,6482,6435,6970,6813,2018-11-07 17:00:21
5174,5206,6779,6848,4569,4549,5432,5399,6486,6435,6994,6813,2018-11-07 17:02:21
5146,5206,6843,6848,4558,4549,5464,5399,6487,6435,7012,6813,2018-11-07 17:04:21
5194,5206,6851,6848,4583,4549,5474,5399,6505,6435,7031,6813,2018-11-07 17:06:22
5174,5206,6844,6848,4576,4549,5477,5399,6506,6435,7045,6813,2018-11-07 17:08:22
5142,5206,6836,6848,4562,4549,5479,5399,6501,6435,7058,6813,2018-11-07 17:10:22
5185,5206,6834,6848,4584,4549,5481,5399,6517,6435,7068,6813,2018-11-07 17:12:22
5162,5206,6824,6848,4574,4549,5481,5399,6514,6435,7077,6813,2018-11-07 17:14:22
5192,5206,6880,6848,4590,4549,5505,5399,6527,6435,7085,6813,2018-11-07 17:16:22
5166,5206,6873,6848,4578,4549,5506,5399,6522,6435,7094,6813,2018-11-07 17:18:22
5144,5206,6856,6848,4568,4549,5502,5399,6518,6435,7100,6813,2018-11-07 17:20:23
5168,5206,6843,6848,4581,4549,5499,5399,6527,6435,7106,6813,2018-11-07 17:22:23
5146,5206,6909,6848,4571,4549,5498,5399,6522,6435,7110,6813,2018-11-07 17:24:23
5186,5206,6886,6848,4590,4549,5519,5399,6535,6435,7117,6813,2018-11-07 17:26:23
5146,5206,6867,6848,4571,4549,5513,5399,6524,6435,7120,6813,2018-11-07 17:28:23
5182,5206,6857,6848,4589,4549,5511,5399,6536,6435,7124,6813,2018-11-07 17:30:23
5157,5206,6909,6848,4577,4549,5532,5399,6529,6435,7126,6813,2018-11-07 17:32:23
5180,5206,6886,6848,4589,4549,5523,5399,6536,6435,7129,6813,2018-11-07 17:34:23
5155,5206,6876,6848,4577,4549,5521,5399,6529,6435,7131,6813,2018-11-07 17:36:24
5198,5206,6859,6848,4598,4549,5515,5399,6542,6435,7132,6813,2018-11-07 17:38:24
5153,5206,6908,6848,4576,4549,5535,5399,6531,6435,7137,6813,2018-11-07 17:40:24
5194,5206,6896,6848,4596,4549,5531,5399,6543,6435,7138,6813,2018-11-07 17:42:24
5165,5206,6876,6848,4582,4549,5524,5399,6535,6435,7140,6813,2018-11-07 17:44:24
5187,5206,6925,6848,4594,4549,5543,5399,6543,6435,7141,6813,2018-11-07 17:46:24
5158,5206,6909,6848,4580,4549,5538,5399,6534,6435,7144,6813,2018-11-07 17:48:24
5198,5206,6884,6848,4599,4549,5529,5399,6547,6435,7145,6813,2018-11-07 17:50:25
5153,5206,6937,6848,4577,4549,5550,5399,6534,6435,7145,6813,2018-11-07 17:52:25
5189,5206,6917,6848,4595,4549,5542,5399,6545,6435,7148,6813,2018-11-07 17:54:25
5160,5206,6891,6848,4581,4549,5533,5399,6537,6435,7149,6813,2018-11-07 17:56:25
5178,5206,6943,6848,4590,4549,5524,5399,6542,6435,7148,6813,2018-11-07 17:58:25
5153,5206,6922,6848,4577,4549,5546,5399,6535,6435,7151,6813,2018-11-07 18:00:25
5187,5206,6895,6848,4595,4549,5536,5399,6547,6435,7151,6813,2018-11-07 18:02:25
5211,5206,6872,6848,4606,4549,5527,5399,6533,6435,7150,6813,2018-11-07 18:04:26
