R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
9476,9452,8143,8084,7187,7155,6274,6213,9119,9062,8191,8090,2018-11-26 17:05:50
9484,9452,8188,8084,7214,7155,6324,6213,9179,9062,8278,8090,2018-11-26 17:07:50
9461,9452,8208,8084,7218,7155,6347,6213,9210,9062,8321,8090,2018-11-26 17:09:50
9535,9452,8185,8084,7260,7155,6359,6213,9243,9062,8372,8090,2018-11-26 17:11:50
9520,9452,8196,8084,7261,7155,6372,6213,9261,9062,8396,8090,2018-11-26 17:13:50
9506,9452,8207,8084,7261,7155,6384,6213,9275,9062,8417,8090,2018-11-26 17:15:50
9473,9452,8217,8084,7252,7155,6395,6213,9284,9062,8436,8090,2018-11-26 17:17:51
9546,9452,8232,8084,7290,7155,6405,6213,9308,9062,8449,8090,2018-11-26 17:19:51
9523,9452,8237,8084,7283,7155,6411,6213,9313,9062,8461,8090,2018-11-26 17:21:51
9503,9452,8243,8084,7278,7155,6419,6213,9319,9062,8475,8090,2018-11-26 17:23:51
9551,9452,8248,8084,7303,7155,6425,6213,9336,9062,8486,8090,2018-11-26 17:25:51
9533,9452,8262,8084,7297,7155,6433,6213,9340,9062,8494,8090,2018-11-26 17:27:51
9511,9452,8266,8084,7289,7155,6438,6213,9341,9062,8504,8090,2018-11-26 17:29:51
9557,9452,8269,8084,7313,7155,6442,6213,9357,9062,8512,8090,2018-11-26 17:31:51
9531,9452,8279,8084,7303,7155,6448,6213,9358,9062,8519,8090,2018-11-26 17:33:52
9606,9452,8281,8084,7294,7155,6451,6213,9356,9062,8524,8090,2018-11-26 17:35:52
9574,9452,8338,8084,7326,7155,6468,6213,9374,9062,8531,8090,2018-11-26 17:37:52
9525,9452,8340,8084,7305,7155,6472,6213,9368,9062,8522,8090,2018-11-26 17:39:52
9589,9452,8349,8084,7336,7155,6476,6213,9386,9062,8526,8090,2018-11-26 17:41:52
9559,9452,8346,8084,7323,7155,6478,6213,9383,9062,8533,8090,2018-11-26 17:43:52
9632,9452,8344,8084,7357,7155,6480,6213,9381,9062,8540,8090,2018-11-26 17:45:53
9570,9452,8342,8084,7330,7155,6481,6213,9392,9062,8546,8090,2018-11-26 17:47:53
9641,9452,8347,8084,7318,7155,6484,6213,9387,9062,8549,8090,2018-11-26 17:49:53
9601,9452,8346,8084,7346,7155,6486,6213,9403,9062,8556,8090,2018-11-26 17:51:53
9569,9452,8342,8084,7332,7155,6486,6213,9398,9062,8560,8090,2018-11-26 17:53:53
9604,9452,8345,8084,7349,7155,6488,6213,9408,9062,8562,8090,2018-11-26 17:55:53
9568,9452,8341,8084,7333,7155,6488,6213,9402,9062,8568,8090,2018-11-26 17:57:53
9630,9452,8336,8084,7362,7155,6488,6213,9417,9062,8572,8090,2018-11-26 17:59:53
