R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
6137,6144,7543,7549,5213,5196,5545,5527,7095,7069,7181,7167,2018-11-23 08:53:25
6157,6144,7578,7549,5216,5196,5557,5527,7085,7069,7186,7167,2018-11-23 08:56:25
6162,6144,7585,7549,5221,5196,5562,5527,7093,7069,7188,7167,2018-11-23 08:59:25
6165,6144,7593,7549,5225,5196,5569,5527,7099,7069,7192,7167,2018-11-23 09:02:26
6170,6144,7600,7549,5229,5196,5575,5527,7107,7069,7197,7167,2018-11-23 09:05:26
6172,6144,7605,7549,5232,5196,5580,5527,7113,7069,7202,7167,2018-11-23 09:08:26
6175,6144,7606,7549,5236,5196,5587,5527,7119,7069,7243,7167,2018-11-23 09:11:26
6176,6144,7611,7549,5238,5196,5590,5527,7123,7069,7241,7167,2018-11-23 09:14:27
6181,6144,7621,7549,5242,5196,5595,5527,7129,7069,7241,7167,2018-11-23 09:17:26
6182,6144,7624,7549,5243,5196,5597,5527,7131,7069,7243,7167,2018-11-23 09:20:26
6183,6144,7626,7549,5245,5196,5599,5527,7133,7069,7244,7167,2018-11-23 09:23:27
6184,6144,7629,7549,5246,5196,5601,5527,7135,7069,7243,7167,2018-11-23 09:26:27
6185,6144,7631,7549,5246,5196,5602,5527,7135,7069,7251,7167,2018-11-23 09:29:27
6187,6144,7632,7549,5248,5196,5604,5527,7139,7069,7253,7167,2018-11-23 09:32:28
6187,6144,7632,7549,5249,5196,5605,5527,7141,7069,7256,7167,2018-11-23 09:35:28
6189,6144,7634,7549,5253,5196,5608,5527,7149,7069,7260,7167,2018-11-23 09:38:28
6183,6144,7632,7549,5250,5196,5609,5527,7145,7069,7262,7167,2018-11-23 09:41:28
6184,6144,7635,7549,5251,5196,5612,5527,7147,7069,7265,7167,2018-11-23 09:44:28
6184,6144,7638,7549,5253,5196,5615,5527,7150,7069,7271,7167,2018-11-23 09:47:29
6185,6144,7642,7549,5255,5196,5619,5527,7154,7069,7274,7167,2018-11-23 09:50:29
6177,6144,7628,7549,5251,5196,5612,5527,7150,7069,7268,7167,2018-11-23 09:53:29
6175,6144,7625,7549,5248,5196,5638,5527,7145,7069,7248,7167,2018-11-23 09:56:29
6175,6144,7630,7549,5248,5196,5640,5527,7144,7069,7253,7167,2018-11-23 09:59:29
6175,6144,7630,7549,5249,5196,5642,5527,7146,7069,7252,7167,2018-11-23 10:02:30
6178,6144,7636,7549,5250,5196,5645,5527,7146,7069,7255,7167,2018-11-23 10:05:30
6180,6144,7641,7549,5250,5196,5647,5527,7147,7069,7261,7167,2018-11-23 10:08:34
6180,6144,7642,7549,5251,5196,5647,5527,7149,7069,7260,7167,2018-11-23 10:11:32
6179,6144,7640,7549,5252,5196,5645,5527,7152,7069,7264,7167,2018-11-23 10:14:30
6180,6144,7640,7549,5253,5196,5646,5527,7153,7069,7277,7167,2018-11-23 10:17:30
6182,6144,7643,7549,5254,5196,5646,5527,7155,7069,7283,7167,2018-11-23 10:20:32
6181,6144,7644,7549,5255,5196,5644,5527,7156,7069,7273,7167,2018-11-23 10:23:31
6182,6144,7645,7549,5255,5196,5645,5527,7156,7069,7283,7167,2018-11-23 10:26:32
