R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
5171,5230,7948,8136,5025,5054,6964,7025,7360,7352,9242,9259,2018-11-07 14:35:16
5115,5230,7988,8136,5000,5054,7000,7025,7345,7352,9278,9259,2018-11-07 14:45:13
5094,5230,7957,8136,4990,5054,6985,7025,7337,7352,9269,9259,2018-11-07 14:47:13
5113,5230,7994,8136,5000,5054,7006,7025,7346,7352,9287,9259,2018-11-07 14:49:13
5139,5230,7962,8136,5014,5054,6990,7025,7357,7352,9276,9259,2018-11-07 14:51:13
5085,5230,7934,8136,4985,5054,6975,7025,7335,7352,9265,9259,2018-11-07 14:53:13
5104,5230,8039,8136,4996,5054,7035,7025,7344,7352,9313,9259,2018-11-07 14:55:13
5086,5230,8000,8136,4987,5054,7015,7025,7338,7352,9299,9259,2018-11-07 14:57:14
5105,5230,8044,8136,4997,5054,7040,7025,7347,7352,9319,9259,2018-11-07 14:59:14
5129,5230,8004,8136,5011,5054,7019,7025,7357,7352,9305,9259,2018-11-07 15:01:14
5081,5230,7972,8136,4985,5054,7001,7025,7337,7352,9292,9259,2018-11-07 15:03:14
5130,5230,7945,8136,5012,5054,6987,7025,7358,7352,9282,9259,2018-11-07 15:05:14
5159,5230,7975,8136,4985,5054,7004,7025,7337,7352,9297,9259,2018-11-07 15:07:14
5098,5230,7944,8136,4995,5054,6987,7025,7346,7352,9283,9259,2018-11-07 15:09:14
5119,5230,8042,8136,5006,5054,7042,7025,7354,7352,9328,9259,2018-11-07 15:11:15
5097,5230,8000,8136,4994,5054,7019,7025,7345,7352,9311,9259,2018-11-07 15:13:15
5117,5230,8034,8136,5005,5054,7038,7025,7355,7352,9326,9259,2018-11-07 15:15:15
5143,5230,7996,8136,5019,5054,7018,7025,7365,7352,9311,9259,2018-11-07 15:17:15
5089,5230,7964,8136,4989,5054,7000,7025,7342,7352,9298,9259,2018-11-07 15:19:15
5107,5230,8058,8136,5000,5054,7054,7025,7351,7352,9341,9259,2018-11-07 15:21:15
5087,5230,8014,8136,4989,5054,7029,7025,7343,7352,9323,9259,2018-11-07 15:23:16
5105,5230,8046,8136,4999,5054,7047,7025,7351,7352,9338,9259,2018-11-07 15:25:16
5125,5230,8004,8136,5010,5054,7025,7025,7359,7352,9321,9259,2018-11-07 15:27:16
5152,5230,7970,8136,5025,5054,7006,7025,7372,7352,9305,9259,2018-11-07 15:29:16
5122,5230,8061,8136,5008,5054,7057,7025,7359,7352,9346,9259,2018-11-07 15:31:16
5145,5230,8093,8136,5020,5054,7075,7025,7368,7352,9302,9259,2018-11-07 15:33:16
5090,5230,8041,8136,4990,5054,7044,7025,7344,7352,9335,9259,2018-11-07 15:35:16
5107,5230,7998,8136,4999,5054,7019,7025,7351,7352,9315,9259,2018-11-07 15:37:16
5086,5230,8098,8136,4988,5054,7076,7025,7343,7352,9300,9259,2018-11-07 15:39:17
5101,5230,7983,8136,4996,5054,7011,7025,7349,7352,9310,9259,2018-11-07 15:41:17
5118,5230,8068,8136,5006,5054,7059,7025,7357,7352,9346,9259,2018-11-07 15:43:17
5139,5230,8018,8136,5017,5054,7031,7025,7365,7352,9326,9259,2018-11-07 15:45:17
5086,5230,7979,8136,4988,5054,7009,7025,7342,7352,9309,9259,2018-11-07 15:47:17
5131,5230,8061,8136,5013,5054,7056,7025,7362,7352,9347,9259,2018-11-07 15:49:17
5154,5230,8086,8136,5025,5054,7070,7025,7372,7352,9357,9259,2018-11-07 15:51:17
5093,5230,8033,8136,4992,5054,7040,7025,7346,7352,9336,9259,2018-11-07 15:53:17
5107,5230,7986,8136,5000,5054,7014,7025,7352,7352,9314,9259,2018-11-07 15:55:18
5163,5230,8070,8136,4987,5054,7061,7025,7342,7352,9352,9259,2018-11-07 15:57:18
5097,5230,8092,8136,4995,5054,7074,7025,7349,7352,9363,9259,2018-11-07 15:59:18
5111,5230,8032,8136,5002,5054,7040,7025,7355,7352,9337,9259,2018-11-07 16:01:18
5129,5230,7987,8136,5012,5054,7014,7025,7362,7352,9317,9259,2018-11-07 16:03:18
5101,5230,8065,8136,4997,5054,7059,7025,7351,7352,9352,9259,2018-11-07 16:05:18
5115,5230,8085,8136,5004,5054,7070,7025,7356,7352,9361,9259,2018-11-07 16:07:18
5133,5230,8027,8136,5014,5054,7037,7025,7364,7352,9336,9259,2018-11-07 16:09:19
5154,5230,7984,8136,5026,5054,7013,7025,7373,7352,9319,9259,2018-11-07 16:11:19
5091,5230,8056,8136,4991,5054,7054,7025,7346,7352,9351,9259,2018-11-07 16:13:19
5135,5230,8007,8136,5015,5054,7027,7025,7365,7352,9330,9259,2018-11-07 16:15:19
5155,5230,8018,8136,5026,5054,7033,7025,7373,7352,9334,9259,2018-11-07 16:17:19
5092,5230,8106,8136,4992,5054,7082,7025,7347,7352,9373,9259,2018-11-07 16:19:19
5104,5230,8043,8136,4998,5054,7047,7025,7352,7352,9346,9259,2018-11-07 16:21:19
5155,5230,7995,8136,5026,5054,7020,7025,7374,7352,9325,9259,2018-11-07 16:23:20
5092,5230,8008,8136,4991,5054,7027,7025,7346,7352,9332,9259,2018-11-07 16:25:20
5104,5230,8088,8136,4999,5054,7073,7025,7353,7352,9367,9259,2018-11-07 16:27:20
5117,5230,8029,8136,5005,5054,7040,7025,7358,7352,9342,9259,2018-11-07 16:29:20
5090,5230,8114,8136,4991,5054,7087,7025,7347,7352,9378,9259,2018-11-07 16:31:20
5100,5230,8128,8136,4996,5054,7017,7025,7351,7352,9325,9259,2018-11-07 16:33:20
5114,5230,8061,8136,5003,5054,7058,7025,7357,7352,9358,9259,2018-11-07 16:35:20
5128,5230,8007,8136,5011,5054,7028,7025,7363,7352,9335,9259,2018-11-07 16:37:21
5145,5230,8082,8136,5020,5054,7070,7025,7370,7352,9367,9259,2018-11-07 16:39:21
5110,5230,8025,8136,5001,5054,7038,7025,7355,7352,9344,9259,2018-11-07 16:41:21
5125,5230,8033,8136,5009,5054,7043,7025,7361,7352,9347,9259,2018-11-07 16:43:21
5142,5230,8120,8136,5018,5054,7092,7025,7369,7352,9386,9259,2018-11-07 16:45:21
5161,5230,8052,8136,5029,5054,7053,7025,7377,7352,9356,9259,2018-11-07 16:47:21
5122,5230,8003,8136,5008,5054,7026,7025,7360,7352,9335,9259,2018-11-07 16:49:21
5138,5230,8012,8136,5016,5054,7031,7025,7367,7352,9340,9259,2018-11-07 16:51:21
5156,5230,8085,8136,5027,5054,7072,7025,7375,7352,9372,9259,2018-11-07 16:53:22
5092,5230,8027,8136,4991,5054,7040,7025,7347,7352,9347,9259,2018-11-07 16:55:22
5133,5230,8103,8136,5014,5054,7083,7025,7365,7352,9380,9259,2018-11-07 16:57:22
5148,5230,8112,8136,5022,5054,7087,7025,7371,7352,9383,9259,2018-11-07 16:59:22
5089,5230,8051,8136,4990,5054,7053,7025,7346,7352,9359,9259,2018-11-07 17:01:22
5099,5230,8129,8136,4995,5054,7098,7025,7351,7352,9393,9259,2018-11-07 17:03:22
5109,5230,8059,8136,5001,5054,7058,7025,7355,7352,9362,9259,2018-11-07 17:05:22
5091,5230,8021,8136,4991,5054,7036,7025,7347,7352,9346,9259,2018-11-07 17:07:35
5108,5230,8040,8136,5000,5054,7047,7025,7355,7352,9355,9259,2018-11-07 17:09:35
5122,5230,8118,8136,5007,5054,7091,7025,7361,7352,9388,9259,2018-11-07 17:11:24
5138,5230,8054,8136,5017,5054,7055,7025,7368,7352,9361,9259,2018-11-07 17:13:24
5105,5230,8137,8136,4999,5054,7102,7025,7354,7352,9398,9259,2018-11-07 17:15:25
5117,5230,8145,8136,5005,5054,7106,7025,7358,7352,9401,9259,2018-11-07 17:17:24
5131,5230,8075,8136,5013,5054,7067,7025,7365,7352,9372,9259,2018-11-07 17:19:24
5147,5230,8023,8136,5021,5054,7037,7025,7372,7352,9349,9259,2018-11-07 17:21:24
5111,5230,8088,8136,5002,5054,7075,7025,7357,7352,9379,9259,2018-11-07 17:23:25
5124,5230,8094,8136,5009,5054,7078,7025,7361,7352,9381,9259,2018-11-07 17:25:24
5138,5230,8038,8136,5017,5054,7046,7025,7368,7352,9357,9259,2018-11-07 17:27:25
5154,5230,8108,8136,5026,5054,7086,7025,7376,7352,9389,9259,2018-11-07 17:29:24
5119,5230,8051,8136,5007,5054,7054,7025,7361,7352,9364,9259,2018-11-07 17:31:25
5131,5230,8054,8136,5013,5054,7055,7025,7366,7352,9365,9259,2018-11-07 17:33:26
5145,5230,8130,8136,5020,5054,7098,7025,7372,7352,9398,9259,2018-11-07 17:35:25
5159,5230,8065,8136,5028,5054,7061,7025,7377,7352,9371,9259,2018-11-07 17:37:25
5095,5230,8138,8136,4993,5054,7103,7025,7350,7352,9403,9259,2018-11-07 17:39:25
5132,5230,8069,8136,5013,5054,7063,7025,7366,7352,9373,9259,2018-11-07 17:41:26
5143,5230,8073,8136,5019,5054,7065,7025,7371,7352,9375,9259,2018-11-07 17:43:27
5157,5230,8151,8136,5027,5054,7110,7025,7377,7352,9409,9259,2018-11-07 17:45:28
5173,5230,8080,8136,4993,5054,7070,7025,7350,7352,9379,9259,2018-11-07 17:47:26
5132,5230,8168,8136,5014,5054,7119,7025,7367,7352,9358,9259,2018-11-07 17:49:26
5146,5230,8176,8136,5021,5054,7046,7025,7373,7352,9362,9259,2018-11-07 17:51:26
5163,5230,8101,8136,5031,5054,7081,7025,7381,7352,9389,9259,2018-11-07 17:53:26
5099,5230,8047,8136,4996,5054,7051,7025,7353,7352,9365,9259,2018-11-07 17:55:26
5138,5230,8114,8136,5017,5054,7089,7025,7370,7352,9396,9259,2018-11-07 17:57:26
5152,5230,8122,8136,5024,5054,7093,7025,7376,7352,9399,9259,2018-11-07 17:59:26
5167,5230,8063,8136,5033,5054,7060,7025,7382,7352,9373,9259,2018-11-07 18:01:26
5101,5230,8133,8136,4997,5054,7100,7025,7354,7352,9404,9259,2018-11-07 18:03:27
5111,5230,8073,8136,5002,5054,7066,7025,7358,7352,9379,9259,2018-11-07 18:05:27
5156,5230,8148,8136,5027,5054,7108,7025,7378,7352,9411,9259,2018-11-07 18:07:27
5174,5230,8159,8136,5037,5054,7114,7025,7353,7352,9416,9259,2018-11-07 18:09:27
5105,5230,8092,8136,4999,5054,7076,7025,7357,7352,9388,9259,2018-11-07 18:11:27
5115,5230,8171,8136,5004,5054,7120,7025,7360,7352,9421,9259,2018-11-07 18:13:27
5159,5230,8100,8136,5028,5054,7081,7025,7379,7352,9391,9259,2018-11-07 18:15:27
5175,5230,8103,8136,5036,5054,7082,7025,7352,7352,9393,9259,2018-11-07 18:17:28
5106,5230,8188,8136,4999,5054,7130,7025,7355,7352,9371,9259,2018-11-07 18:19:28
5117,5230,8109,8136,5005,5054,7086,7025,7360,7352,9396,9259,2018-11-07 18:21:28
5163,5230,8057,8136,5030,5054,7056,7025,7380,7352,9374,9259,2018-11-07 18:23:28
5101,5230,8059,8136,4996,5054,7058,7025,7354,7352,9375,9259,2018-11-07 18:25:28
5111,5230,8122,8136,5002,5054,7093,7025,7358,7352,9403,9259,2018-11-07 18:27:28
5122,5230,8067,8136,5008,5054,7062,7025,7363,7352,9378,9259,2018-11-07 18:29:28
5136,5230,8133,8136,5015,5054,7099,7025,7368,7352,9407,9259,2018-11-07 18:31:29
5106,5230,8073,8136,4999,5054,7066,7025,7356,7352,9381,9259,2018-11-07 18:33:29
5115,5230,8077,8136,5003,5054,7068,7025,7359,7352,9384,9259,2018-11-07 18:35:29
5128,5230,8145,8136,5010,5054,7106,7025,7364,7352,9413,9259,2018-11-07 18:37:29
5141,5230,8082,8136,5018,5054,7070,7025,7370,7352,9386,9259,2018-11-07 18:39:29
5109,5230,8148,8136,5000,5054,7107,7025,7357,7352,9414,9259,2018-11-07 18:41:29
5119,5230,8151,8136,5006,5054,7109,7025,7361,7352,9416,9259,2018-11-07 18:43:29
