R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
12678,12620,9448,9456,10345,10322,7734,7737,13577,13577,9873,9875,2018-11-09 08:26:19
12700,12620,9532,9456,10353,10322,7768,7737,13574,13577,9878,9875,2018-11-09 08:28:19
12692,12620,9456,9456,10349,10322,7737,7737,13574,13577,9874,9875,2018-11-09 08:30:20
12682,12620,9541,9456,10346,10322,7772,7737,13575,13577,9876,9875,2018-11-09 08:32:20
12676,12620,9514,9456,10343,10322,7760,7737,13573,13577,9876,9875,2018-11-09 08:34:20
12702,12620,9489,9456,10354,10322,7751,7737,13575,13577,9875,9875,2018-11-09 08:36:20
12692,12620,9526,9456,10349,10322,7765,7737,13572,13577,9875,9875,2018-11-09 08:38:20
12682,12620,9499,9456,10345,10322,7753,7737,13571,13577,9873,9875,2018-11-09 08:40:20
12674,12620,9474,9456,10342,10322,7744,7737,13572,13577,9872,9875,2018-11-09 08:42:20
12700,12620,9452,9456,10291,10322,7734,7737,13573,13577,9869,9875,2018-11-09 08:44:21
12687,12620,9483,9456,10346,10322,7747,7737,13568,13577,9872,9875,2018-11-09 08:46:21
12680,12620,9459,9456,10343,10322,7736,7737,13569,13577,9870,9875,2018-11-09 08:48:21
12671,12620,9437,9456,10339,10322,7727,7737,13569,13577,9867,9875,2018-11-09 08:50:21
12695,12620,9524,9456,10288,10322,7763,7737,13570,13577,9873,9875,2018-11-09 08:52:21
12679,12620,9440,9456,10341,10322,7728,7737,13567,13577,9867,9875,2018-11-09 08:54:21
12669,12620,9529,9456,10338,10322,7765,7737,13568,13577,9871,9875,2018-11-09 08:56:21
12654,12620,9496,9456,10333,10322,7752,7737,13568,13577,9870,9875,2018-11-09 08:58:22
12693,12620,9431,9456,10285,10322,7724,7737,13567,13577,9866,9875,2018-11-09 09:00:22
12683,12620,9516,9456,10343,10322,7759,7737,13565,13577,9870,9875,2018-11-09 09:02:22
12672,12620,9487,9456,10338,10322,7747,7737,13565,13577,9869,9875,2018-11-09 09:04:22
12539,12620,9468,9456,10287,10322,7739,7737,13566,13577,9866,9875,2018-11-09 09:06:22
12531,12620,9503,9456,10283,10322,7753,7737,13563,13577,9868,9875,2018-11-09 09:08:22
12683,12620,9474,9456,10280,10322,7741,7737,13564,13577,9866,9875,2018-11-09 09:10:22
12667,12620,9448,9456,10336,10322,7731,7737,13564,13577,9865,9875,2018-11-09 09:12:23
12680,12620,9423,9456,10277,10322,7719,7737,13560,13577,9861,9875,2018-11-09 09:14:23
12667,12620,9448,9456,10335,10322,7730,7737,13561,13577,9864,9875,2018-11-09 09:16:23
12651,12620,9425,9456,10329,10322,7720,7737,13562,13577,9861,9875,2018-11-09 09:18:23
12636,12620,9507,9456,10323,10322,7754,7737,13562,13577,9865,9875,2018-11-09 09:20:23
12651,12620,9475,9456,10329,10322,7741,7737,13561,13577,9864,9875,2018-11-09 09:22:23
12636,12620,9510,9456,10323,10322,7755,7737,13560,13577,9864,9875,2018-11-09 09:24:23
12622,12620,9477,9456,10317,10322,7741,7737,13559,13577,9862,9875,2018-11-09 09:26:23
12610,12620,9449,9456,10313,10322,7729,7737,13562,13577,9862,9875,2018-11-09 09:28:24
12621,12620,9423,9456,10316,10322,7718,7737,13559,13577,9858,9875,2018-11-09 09:30:24
12607,12620,9449,9456,10311,10322,7730,7737,13559,13577,9862,9875,2018-11-09 09:32:24
12597,12620,9426,9456,10307,10322,7720,7737,13560,13577,9860,9875,2018-11-09 09:34:24
12588,12620,9513,9456,10303,10322,7756,7737,13559,13577,9864,9875,2018-11-09 09:36:24
12602,12620,9431,9456,10309,10322,7722,7737,13558,13577,9860,9875,2018-11-09 09:38:24
12589,12620,9518,9456,10303,10322,7758,7737,13557,13577,9863,9875,2018-11-09 09:40:24
12576,12620,9483,9456,10298,10322,7743,7737,13557,13577,9862,9875,2018-11-09 09:42:25
12588,12620,9455,9456,10303,10322,7732,7737,13556,13577,9860,9875,2018-11-09 09:44:25
12574,12620,9486,9456,10296,10322,7744,7737,13554,13577,9861,9875,2018-11-09 09:46:25
12559,12620,9453,9456,10290,10322,7730,7737,13553,13577,9858,9875,2018-11-09 09:48:25
12546,12620,9424,9456,10284,10322,7718,7737,13552,13577,9855,9875,2018-11-09 09:50:25
12554,12620,9510,9456,10287,10322,7753,7737,13551,13577,9859,9875,2018-11-09 09:52:26
12542,12620,9422,9456,10282,10322,7716,7737,13549,13577,9853,9875,2018-11-09 09:54:25
12533,12620,9510,9456,10279,10322,7753,7737,13550,13577,9852,9875,2018-11-09 09:56:26
12525,12620,9475,9456,10276,10322,7738,7737,13550,13577,9858,9875,2018-11-09 09:58:26
12535,12620,9444,9456,10280,10322,7725,7737,13549,13577,9855,9875,2018-11-09 10:00:26
12523,12620,9473,9456,10274,10322,7737,7737,13548,13577,9855,9875,2018-11-09 10:02:26
12514,12620,9445,9456,10271,10322,7726,7737,13548,13577,9856,9875,2018-11-09 10:04:26
12501,12620,9417,9456,10265,10322,7713,7737,13545,13577,9851,9875,2018-11-09 10:06:26
12514,12620,9506,9456,10270,10322,7750,7737,13546,13577,9856,9875,2018-11-09 10:08:27
12503,12620,9418,9456,10265,10322,7713,7737,13544,13577,9850,9875,2018-11-09 10:10:27
12651,12620,9504,9456,10323,10322,7749,7737,13544,13577,9855,9875,2018-11-09 10:12:27
12635,12620,9470,9456,10317,10322,7736,7737,13543,13577,9854,9875,2018-11-09 10:14:27
12655,12620,9509,9456,10262,10322,7751,7737,13542,13577,9848,9875,2018-11-09 10:16:27
12641,12620,9473,9456,10318,10322,7736,7737,13541,13577,9853,9875,2018-11-09 10:18:27
12625,12620,9442,9456,10311,10322,7723,7737,13538,13577,9850,9875,2018-11-09 10:20:27
12648,12620,9416,9456,10257,10322,7712,7737,13538,13577,9848,9875,2018-11-09 10:22:27
12632,12620,9442,9456,10313,10322,7723,7737,13538,13577,9850,9875,2018-11-09 10:24:28
12622,12620,9416,9456,10310,10322,7712,7737,13540,13577,9848,9875,2018-11-09 10:26:28
12609,12620,9391,9456,10305,10322,7701,7737,13539,13577,9844,9875,2018-11-09 10:28:28
12620,12620,9469,9456,10308,10322,7733,7737,13536,13577,9850,9875,2018-11-09 10:30:28
12606,12620,9391,9456,10303,10322,7700,7737,13537,13577,9844,9875,2018-11-09 10:32:28
12595,12620,9469,9456,10300,10322,7734,7737,13539,13577,9851,9875,2018-11-09 10:34:28
12581,12620,9437,9456,10294,10322,7721,7737,13538,13577,9848,9875,2018-11-09 10:36:28
12595,12620,9408,9456,10298,10322,7707,7737,13535,13577,9844,9875,2018-11-09 10:38:29
12583,12620,9436,9456,10294,10322,7718,7737,13536,13577,9846,9875,2018-11-09 10:40:29
12567,12620,9408,9456,10287,10322,7707,7737,13535,13577,9843,9875,2018-11-09 10:42:29
12554,12620,9497,9456,10282,10322,7696,7737,13536,13577,9841,9875,2018-11-09 10:44:29
12561,12620,9459,9456,10284,10322,7729,7737,13533,13577,9847,9875,2018-11-09 10:46:29
12548,12620,9494,9456,10279,10322,7743,7737,13534,13577,9840,9875,2018-11-09 10:48:29
12536,12620,9455,9456,10274,10322,7726,7737,13533,13577,9846,9875,2018-11-09 10:50:29
12519,12620,9421,9456,10268,10322,7711,7737,13533,13577,9843,9875,2018-11-09 10:52:29
12524,12620,9447,9456,10269,10322,7722,7737,13532,13577,9843,9875,2018-11-09 10:54:30
12512,12620,9417,9456,10264,10322,7710,7737,13531,13577,9843,9875,2018-11-09 10:56:30
12502,12620,9391,9456,10260,10322,7699,7737,13530,13577,9841,9875,2018-11-09 10:58:30
12532,12620,9493,9456,10272,10322,7694,7737,13533,13577,9838,9875,2018-11-09 11:00:30
12517,12620,9401,9456,10266,10322,7703,7737,13529,13577,9839,9875,2018-11-09 11:02:30
12507,12620,9491,9456,10262,10322,7693,7737,13530,13577,9837,9875,2018-11-09 11:04:30
12494,12620,9451,9456,10255,10322,7723,7737,13527,13577,9842,9875,2018-11-09 11:06:30
12502,12620,9419,9456,10257,10322,7710,7737,13526,13577,9839,9875,2018-11-09 11:08:31
12492,12620,9449,9456,10255,10322,7722,7737,13528,13577,9843,9875,2018-11-09 11:10:31
12480,12620,9416,9456,10250,10322,7709,7737,13526,13577,9840,9875,2018-11-09 11:12:31
