R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
4226,6517,4828,7282,3519,5114,4073,5781,5076,6992,5617,7646,2018-11-05 14:46:12
4240,6517,4819,7282,3524,5114,4071,5781,5075,6992,5618,7646,2018-11-05 14:48:12
4253,6517,4812,7282,3529,5114,4068,5781,5075,6992,5618,7646,2018-11-05 14:50:12
4231,6517,4817,7282,3520,5114,4069,5781,5075,6992,5618,7646,2018-11-05 14:52:12
4247,6517,4810,7282,3527,5114,4068,5781,5076,6992,5619,7646,2018-11-05 14:54:12
4224,6517,4803,7282,3518,5114,4065,5781,5076,6992,5619,7646,2018-11-05 14:56:12
4242,6517,4812,7282,3525,5114,4068,5781,5075,6992,5618,7646,2018-11-05 14:58:12
4223,6517,4805,7282,3518,5114,4065,5781,5075,6992,5618,7646,2018-11-05 15:00:13
4233,6517,4809,7282,3521,5114,4066,5781,5075,6992,5617,7646,2018-11-05 15:02:13
4249,6517,4802,7282,3526,5114,4064,5781,5074,6992,5618,7646,2018-11-05 15:04:13
4224,6517,4838,7282,3517,5114,4076,5781,5074,6992,5613,7646,2018-11-05 15:06:13
4238,6517,4799,7282,3523,5114,4063,5781,5074,6992,5617,7646,2018-11-05 15:08:14
4255,6517,4834,7282,3528,5114,4074,5781,5073,6992,5613,7646,2018-11-05 15:10:14
4228,6517,4841,7282,3519,5114,4076,5781,5073,6992,5616,7646,2018-11-05 15:12:14
4245,6517,4832,7282,3525,5114,4073,5781,5074,6992,5614,7646,2018-11-05 15:14:15
4221,6517,4823,7282,3516,5114,4070,5781,5073,6992,5614,7646,2018-11-05 15:16:14
4233,6517,4829,7282,3520,5114,4072,5781,5072,6992,5613,7646,2018-11-05 15:18:14
4250,6517,4820,7282,3526,5114,4069,5781,5072,6992,5614,7646,2018-11-05 15:20:15
4225,6517,4813,7282,3517,5114,4067,5781,5073,6992,5615,7646,2018-11-05 15:22:14
4238,6517,4817,7282,3522,5114,4068,5781,5073,6992,5614,7646,2018-11-05 15:24:14
4255,6517,4808,7282,3515,5114,4065,5781,5072,6992,5614,7646,2018-11-05 15:26:14
4227,6517,4811,7282,3518,5114,4066,5781,5072,6992,5613,7646,2018-11-05 15:28:15
4241,6517,4803,7282,3523,5114,4063,5781,5072,6992,5614,7646,2018-11-05 15:30:15
4255,6517,4797,7282,3515,5114,4061,5781,5072,6992,5615,7646,2018-11-05 15:32:15
4231,6517,4800,7282,3519,5114,4062,5781,5071,6992,5614,7646,2018-11-05 15:34:15
4248,6517,4839,7282,3525,5114,4074,5781,5071,6992,5613,7646,2018-11-05 15:36:15
4223,6517,4829,7282,3516,5114,4071,5781,5071,6992,5611,7646,2018-11-05 15:38:15
4238,6517,4835,7282,3521,5114,4072,5781,5070,6992,5609,7646,2018-11-05 15:40:16
4220,6517,4826,7282,3515,5114,4070,5781,5071,6992,5611,7646,2018-11-05 15:42:16
4229,6517,4832,7282,3518,5114,4072,5781,5070,6992,5609,7646,2018-11-05 15:44:16
4246,6517,4824,7282,3524,5114,4069,5781,5070,6992,5610,7646,2018-11-05 15:46:16
4221,6517,4815,7282,3515,5114,4066,5781,5070,6992,5611,7646,2018-11-05 15:48:16
4234,6517,4820,7282,3519,5114,4067,5781,5070,6992,5609,7646,2018-11-05 15:50:16
4252,6517,4812,7282,3525,5114,4064,5781,5070,6992,5610,7646,2018-11-05 15:52:17
4225,6517,4817,7282,3516,5114,4066,5781,5070,6992,5610,7646,2018-11-05 15:54:17
4239,6517,4809,7282,3521,5114,4064,5781,5068,6992,5611,7646,2018-11-05 15:56:17
4219,6517,4802,7282,3513,5114,4061,5781,5068,6992,5611,7646,2018-11-05 15:58:17
4229,6517,4805,7282,3518,5114,4062,5781,5069,6992,5610,7646,2018-11-05 16:00:17
4245,6517,4797,7282,3523,5114,4059,5781,5068,6992,5610,7646,2018-11-05 16:02:17
4219,6517,4833,7282,3514,5114,4071,5781,5068,6992,5606,7646,2018-11-05 16:04:17
4233,6517,4793,7282,3519,5114,4057,5781,5069,6992,5610,7646,2018-11-05 16:06:17
4250,6517,4827,7282,3525,5114,4069,5781,5068,6992,5607,7646,2018-11-05 16:08:17
4222,6517,4833,7282,3515,5114,4070,5781,5068,6992,5605,7646,2018-11-05 16:10:18
4237,6517,4823,7282,3520,5114,4067,5781,5068,6992,5607,7646,2018-11-05 16:12:18
4249,6517,4813,7282,3524,5114,4064,5781,5068,6992,5609,7646,2018-11-05 16:14:18
4226,6517,4818,7282,3516,5114,4066,5781,5067,6992,5608,7646,2018-11-05 16:16:18
4242,6517,4809,7282,3521,5114,4062,5781,5067,6992,5608,7646,2018-11-05 16:18:18
4218,6517,4801,7282,3512,5114,4059,5781,5067,6992,5608,7646,2018-11-05 16:20:18
4231,6517,4805,7282,3517,5114,4060,5781,5066,6992,5607,7646,2018-11-05 16:22:19
4249,6517,4798,7282,3523,5114,4058,5781,5066,6992,5608,7646,2018-11-05 16:24:19
4222,6517,4802,7282,3513,5114,4059,5781,5066,6992,5608,7646,2018-11-05 16:26:19
4237,6517,4793,7282,3519,5114,4056,5781,5066,6992,5607,7646,2018-11-05 16:28:19
4249,6517,4831,7282,3510,5114,4068,5781,5065,6992,5603,7646,2018-11-05 16:30:19
4226,6517,4791,7282,3515,5114,4055,5781,5066,6992,5606,7646,2018-11-05 16:32:19
4242,6517,4827,7282,3520,5114,4067,5781,5065,6992,5603,7646,2018-11-05 16:34:20
4217,6517,4817,7282,3511,5114,4064,5781,5065,6992,5604,7646,2018-11-05 16:36:19
4234,6517,4827,7282,3518,5114,4067,5781,5065,6992,5602,7646,2018-11-05 16:38:20
4214,6517,4818,7282,3510,5114,4064,5781,5065,6992,5604,7646,2018-11-05 16:40:20
4224,6517,4825,7282,3514,5114,4066,5781,5065,6992,5603,7646,2018-11-05 16:42:20
4240,6517,4815,7282,3519,5114,4063,5781,5065,6992,5604,7646,2018-11-05 16:44:20
4215,6517,4807,7282,3511,5114,4060,5781,5065,6992,5605,7646,2018-11-05 16:46:20
4229,6517,4813,7282,3515,5114,4062,5781,5064,6992,5605,7646,2018-11-05 16:48:20
4247,6517,4803,7282,3522,5114,4058,5781,5063,6992,5603,7646,2018-11-05 16:50:20
4219,6517,4808,7282,3512,5114,4060,5781,5063,6992,5603,7646,2018-11-05 16:52:20
4236,6517,4801,7282,3518,5114,4058,5781,5064,6992,5604,7646,2018-11-05 16:54:21
4248,6517,4793,7282,3509,5114,4055,5781,5064,6992,5603,7646,2018-11-05 16:56:21
4224,6517,4797,7282,3513,5114,4056,5781,5063,6992,5603,7646,2018-11-05 16:58:21
4240,6517,4791,7282,3518,5114,4054,5781,5062,6992,5603,7646,2018-11-05 17:00:21
4218,6517,4787,7282,3511,5114,4052,5781,5064,6992,5603,7646,2018-11-05 17:02:21
4231,6517,4791,7282,3516,5114,4054,5781,5062,6992,5604,7646,2018-11-05 17:04:22
4213,6517,4828,7282,3509,5114,4066,5781,5063,6992,5599,7646,2018-11-05 17:06:22
4221,6517,4787,7282,3512,5114,4052,5781,5063,6992,5602,7646,2018-11-05 17:08:22
4236,6517,4824,7282,3517,5114,4064,5781,5061,6992,5599,7646,2018-11-05 17:10:22
4211,6517,4813,7282,3508,5114,4060,5781,5062,6992,5600,7646,2018-11-05 17:12:22
4224,6517,4817,7282,3512,5114,4061,5781,5061,6992,5598,7646,2018-11-05 17:14:22
4240,6517,4809,7282,3518,5114,4059,5781,5060,6992,5600,7646,2018-11-05 17:16:22
4214,6517,4800,7282,3509,5114,4056,5781,5062,6992,5601,7646,2018-11-05 17:18:22
4228,6517,4805,7282,3514,5114,4058,5781,5061,6992,5600,7646,2018-11-05 17:20:22
4209,6517,4796,7282,3507,5114,4054,5781,5061,6992,5600,7646,2018-11-05 17:22:23
4217,6517,4800,7282,3510,5114,4056,5781,5061,6992,5600,7646,2018-11-05 17:24:23
4231,6517,4790,7282,3514,5114,4052,5781,5059,6992,5599,7646,2018-11-05 17:26:24
4243,6517,4829,7282,3518,5114,4049,5781,5060,6992,5599,7646,2018-11-05 17:28:23
4219,6517,4786,7282,3510,5114,4050,5781,5059,6992,5599,7646,2018-11-05 17:30:23
4234,6517,4821,7282,3515,5114,4062,5781,5060,6992,5597,7646,2018-11-05 17:32:23
4209,6517,4827,7282,3506,5114,4064,5781,5060,6992,5599,7646,2018-11-05 17:34:23
4222,6517,4816,7282,3511,5114,4060,5781,5059,6992,5597,7646,2018-11-05 17:36:23
4232,6517,4806,7282,3514,5114,4057,5781,5059,6992,5598,7646,2018-11-05 17:38:24
4212,6517,4810,7282,3507,5114,4058,5781,5059,6992,5596,7646,2018-11-05 17:40:24
4225,6517,4801,7282,3512,5114,4055,5781,5058,6992,5597,7646,2018-11-05 17:42:24
4240,6517,4796,7282,3517,5114,4053,5781,5057,6992,5597,7646,2018-11-05 17:44:24
4219,6517,4801,7282,3510,5114,4055,5781,5059,6992,5597,7646,2018-11-05 17:46:25
4233,6517,4792,7282,3514,5114,4052,5781,5057,6992,5597,7646,2018-11-05 17:48:25
4209,6517,4797,7282,3505,5114,4053,5781,5058,6992,5597,7646,2018-11-05 17:50:26
4222,6517,4789,7282,3510,5114,4050,5781,5057,6992,5597,7646,2018-11-05 17:52:25
4233,6517,4782,7282,3514,5114,4048,5781,5056,6992,5597,7646,2018-11-05 17:54:25
4213,6517,4786,7282,3507,5114,4049,5781,5057,6992,5596,7646,2018-11-05 17:56:25
4228,6517,4824,7282,3512,5114,4061,5781,5057,6992,5596,7646,2018-11-05 17:58:25
4241,6517,4814,7282,3516,5114,4059,5781,5056,6992,5595,7646,2018-11-05 18:00:42
4219,6517,4820,7282,3509,5114,4060,5781,5057,6992,5592,7646,2018-11-05 18:02:25
4235,6517,4811,7282,3514,5114,4058,5781,5056,6992,5594,7646,2018-11-05 18:04:26
4210,6517,4816,7282,3506,5114,4058,5781,5057,6992,5593,7646,2018-11-05 18:06:26
4223,6517,4805,7282,3510,5114,4054,5781,5056,6992,5593,7646,2018-11-05 18:08:28
4235,6517,4796,7282,3514,5114,4052,5781,5055,6992,5594,7646,2018-11-05 18:10:26
4214,6517,4802,7282,3507,5114,4054,5781,5056,6992,5593,7646,2018-11-05 18:12:26
4228,6517,4793,7282,3511,5114,4051,5781,5055,6992,5593,7646,2018-11-05 18:14:26
4240,6517,4798,7282,3503,5114,4052,5781,5054,6992,5593,7646,2018-11-05 18:16:26
4217,6517,4789,7282,3507,5114,4049,5781,5055,6992,5593,7646,2018-11-05 18:18:27
4227,6517,4782,7282,3511,5114,4046,5781,5054,6992,5594,7646,2018-11-05 18:20:27
4207,6517,4785,7282,3503,5114,4048,5781,5054,6992,5594,7646,2018-11-05 18:22:27
4219,6517,4823,7282,3508,5114,4045,5781,5055,6992,5593,7646,2018-11-05 18:24:27
4231,6517,4812,7282,3512,5114,4056,5781,5053,6992,5590,7646,2018-11-05 18:26:27
4210,6517,4816,7282,3504,5114,4058,5781,5054,6992,5589,7646,2018-11-05 18:28:27
4223,6517,4807,7282,3509,5114,4054,5781,5054,6992,5591,7646,2018-11-05 18:30:27
4236,6517,4812,7282,3514,5114,4056,5781,5053,6992,5589,7646,2018-11-05 18:32:27
4213,6517,4802,7282,3505,5114,4053,5781,5053,6992,5591,7646,2018-11-05 18:34:28
4223,6517,4793,7282,3509,5114,4050,5781,5053,6992,5591,7646,2018-11-05 18:36:28
4204,6517,4797,7282,3502,5114,4051,5781,5052,6992,5590,7646,2018-11-05 18:38:28
4216,6517,4788,7282,3506,5114,4047,5781,5052,6992,5590,7646,2018-11-05 18:40:28
4226,6517,4780,7282,3510,5114,4044,5781,5052,6992,5591,7646,2018-11-05 18:42:28
4206,6517,4784,7282,3502,5114,4046,5781,5052,6992,5591,7646,2018-11-05 18:44:28
4220,6517,4777,7282,3507,5114,4043,5781,5052,6992,5591,7646,2018-11-05 18:46:29
4233,6517,4780,7282,3511,5114,4044,5781,5051,6992,5590,7646,2018-11-05 18:48:29
4210,6517,4816,7282,3503,5114,4056,5781,5051,6992,5585,7646,2018-11-05 18:50:29
4221,6517,4807,7282,3508,5114,4053,5781,5052,6992,5588,7646,2018-11-05 18:52:29
4202,6517,4812,7282,3501,5114,4054,5781,5051,6992,5585,7646,2018-11-05 18:54:29
4215,6517,4803,7282,3505,5114,4051,5781,5051,6992,5587,7646,2018-11-05 18:56:29
4226,6517,4808,7282,3509,5114,4053,5781,5051,6992,5586,7646,2018-11-05 18:58:29
4205,6517,4798,7282,3501,5114,4050,5781,5051,6992,5587,7646,2018-11-05 19:00:30
4213,6517,4788,7282,3504,5114,4046,5781,5050,6992,5587,7646,2018-11-05 19:02:30
4228,6517,4792,7282,3509,5114,4048,5781,5049,6992,5588,7646,2018-11-05 19:04:30
4207,6517,4783,7282,3502,5114,4044,5781,5050,6992,5587,7646,2018-11-05 19:06:30
4218,6517,4777,7282,3506,5114,4042,5781,5050,6992,5587,7646,2018-11-05 19:08:30
4234,6517,4779,7282,3511,5114,4042,5781,5049,6992,5586,7646,2018-11-05 19:10:30
4210,6517,4818,7282,3503,5114,4040,5781,5049,6992,5586,7646,2018-11-05 19:12:30
4220,6517,4776,7282,3506,5114,4041,5781,5049,6992,5586,7646,2018-11-05 19:14:31
