R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
14051,10810,20899,16320,7019,8377,11478,11732,8838,11192,13656,14653,2018-11-20 14:35:24
6118,10810,13237,16320,3696,8377,8331,11732,4375,11192,9562,14653,2018-11-20 14:37:24
6033,10810,13192,16320,3659,8377,8364,11732,4323,11192,9604,14653,2018-11-20 14:39:25
14293,10810,20872,16320,7055,8377,11456,11732,8886,11192,13657,14653,2018-11-20 14:41:25
14283,10810,20944,16320,7069,8377,11498,11732,8907,11192,13719,14653,2018-11-20 14:43:25
14288,10810,21046,16320,7081,8377,11564,11732,8895,11192,13802,14653,2018-11-20 14:46:32
14305,10810,20980,16320,7089,8377,11559,11732,8904,11192,13838,14653,2018-11-20 14:47:26
14298,10810,21064,16320,7090,8377,11581,11732,8909,11192,13857,14653,2018-11-20 14:52:15
14318,10810,21046,16320,7099,8377,11588,11732,8922,11192,13858,14653,2018-11-20 14:55:49
14407,10810,21063,16320,7128,8377,11603,11732,8935,11192,13881,14653,2018-11-20 14:59:19
14420,10810,21045,16320,7136,8377,11609,11732,8947,11192,13911,14653,2018-11-20 15:01:42
14413,10810,21023,16320,7137,8377,11610,11732,8951,11192,13927,14653,2018-11-20 15:05:42
14426,10810,21104,16320,7144,8377,11633,11732,8960,11192,13927,14653,2018-11-20 15:07:27
14420,10810,21074,16320,7144,8377,11632,11732,8965,11192,13946,14653,2018-11-20 15:10:36
14404,10810,21166,16320,7142,8377,11657,11732,8971,11192,13967,14653,2018-11-20 15:15:50
14410,10810,21175,16320,7148,8377,11669,11732,8978,11192,13958,14653,2018-11-20 15:19:06
14403,10810,21100,16320,7147,8377,11656,11732,8982,11192,13985,14653,2018-11-20 15:19:34
14394,10810,21135,16320,7145,8377,11667,11732,8984,11192,13984,14653,2018-11-20 15:21:29
14417,10810,21114,16320,7154,8377,11665,11732,8989,11192,13996,14653,2018-11-20 15:23:28
14405,10810,21152,16320,7152,8377,11678,11732,8992,11192,13999,14653,2018-11-20 15:26:12
14396,10810,21191,16320,7150,8377,11688,11732,8993,11192,13994,14653,2018-11-20 15:30:20
14400,10810,21185,16320,7154,8377,11692,11732,9000,11192,14007,14653,2018-11-20 15:33:27
14418,10810,21146,16320,7164,8377,11697,11732,9013,11192,14047,14653,2018-11-20 15:42:38
14507,10810,21213,16320,7190,8377,11714,11732,9015,11192,14038,14653,2018-11-20 15:43:45
14489,10810,21255,16320,7187,8377,11726,11732,9024,11192,14035,14653,2018-11-20 15:45:45
14473,10810,21169,16320,7183,8377,11711,11732,9026,11192,14063,14653,2018-11-20 15:47:45
14479,10810,21235,16320,7186,8377,11726,11732,9027,11192,14051,14653,2018-11-20 15:49:53
14463,10810,21270,16320,7182,8377,11734,11732,9029,11192,14071,14653,2018-11-20 15:51:49
14449,10810,21182,16320,7179,8377,11719,11732,9030,11192,14074,14653,2018-11-20 15:53:49
14454,10810,21206,16320,7182,8377,11726,11732,9032,11192,14071,14653,2018-11-20 15:55:46
14440,10810,21285,16320,7178,8377,11718,11732,9033,11192,14084,14653,2018-11-20 15:57:46
14429,10810,21194,16320,7176,8377,11728,11732,9034,11192,14085,14653,2018-11-20 15:59:46
14515,10810,21220,16320,7201,8377,11735,11732,9041,11192,14081,14653,2018-11-20 16:01:46
14525,10810,21181,16320,7205,8377,11729,11732,9045,11192,14096,14653,2018-11-20 16:03:51
14507,10810,21206,16320,7201,8377,11736,11732,9046,11192,14096,14653,2018-11-20 16:05:47
14487,10810,21233,16320,7196,8377,11744,11732,9046,11192,14093,14653,2018-11-20 16:07:47
14497,10810,21264,16320,7200,8377,11752,11732,9049,11192,14088,14653,2018-11-20 16:09:47
14481,10810,21216,16320,7196,8377,11744,11732,9050,11192,14106,14653,2018-11-20 16:11:47
14463,10810,21241,16320,7191,8377,11751,11732,9049,11192,14104,14653,2018-11-20 16:13:47
14450,10810,21270,16320,7188,8377,11760,11732,9050,11192,14100,14653,2018-11-20 16:15:47
14454,10810,21215,16320,7189,8377,11749,11732,9050,11192,14115,14653,2018-11-20 16:17:48
14539,10810,21238,16320,7214,8377,11755,11732,9057,11192,14113,14653,2018-11-20 16:19:48
14515,10810,21264,16320,7209,8377,11763,11732,9057,11192,14111,14653,2018-11-20 16:21:48
14521,10810,21293,16320,7212,8377,11770,11732,9060,11192,14107,14653,2018-11-20 16:23:48
14496,10810,21233,16320,7205,8377,11759,11732,9061,11192,14127,14653,2018-11-20 16:25:48
14477,10810,21254,16320,7200,8377,11765,11732,9060,11192,14123,14653,2018-11-20 16:27:48
14461,10810,21281,16320,7196,8377,11772,11732,9061,11192,14120,14653,2018-11-20 16:29:48
14461,10810,21223,16320,7196,8377,11760,11732,9061,11192,14136,14653,2018-11-20 16:31:48
14548,10810,21240,16320,7222,8377,11765,11732,9069,11192,14132,14653,2018-11-20 16:33:49
14520,10810,21271,16320,7215,8377,11775,11732,9071,11192,14135,14653,2018-11-20 16:35:49
14538,10810,21287,16320,7232,8377,11770,11732,9154,11192,14096,14653,2018-11-20 16:37:49
14513,10810,21226,16320,7225,8377,11758,11732,9155,11192,14114,14653,2018-11-20 16:39:49
14496,10810,21248,16320,7221,8377,11765,11732,9156,11192,14112,14653,2018-11-20 16:41:50
14477,10810,21270,16320,7216,8377,11771,11732,9154,11192,14111,14653,2018-11-20 16:43:49
14477,10810,21211,16320,7216,8377,11758,11732,9156,11192,14125,14653,2018-11-20 16:45:49
14552,10810,21227,16320,7239,8377,11763,11732,9164,11192,14123,14653,2018-11-20 16:47:50
14526,10810,21245,16320,7231,8377,11768,11732,9162,11192,14123,14653,2018-11-20 16:49:50
14523,10810,21262,16320,7232,8377,11774,11732,9163,11192,14121,14653,2018-11-20 16:51:50
14499,10810,21326,16320,7225,8377,11789,11732,9163,11192,14109,14653,2018-11-20 16:53:50
14585,10810,21218,16320,7219,8377,11766,11732,9162,11192,14136,14653,2018-11-20 16:55:50
14556,10810,21238,16320,7243,8377,11774,11732,9171,11192,14140,14653,2018-11-20 16:57:50
14547,10810,21288,16320,7240,8377,11784,11732,9170,11192,14127,14653,2018-11-20 16:59:51
14524,10810,21310,16320,7235,8377,11791,11732,9172,11192,14127,14653,2018-11-20 17:01:51
14502,10810,21333,16320,7229,8377,11797,11732,9170,11192,14124,14653,2018-11-20 17:03:51
14501,10810,21227,16320,7229,8377,11773,11732,9171,11192,14145,14653,2018-11-20 17:05:51
14586,10810,21285,16320,7253,8377,11789,11732,9176,11192,14141,14653,2018-11-20 17:07:52
14555,10810,21303,16320,7245,8377,11794,11732,9176,11192,14138,14653,2018-11-20 17:09:51
14530,10810,21322,16320,7238,8377,11799,11732,9176,11192,14135,14653,2018-11-20 17:11:52
14524,10810,21250,16320,7237,8377,11783,11732,9176,11192,14152,14653,2018-11-20 17:13:51
14502,10810,21265,16320,7231,8377,11787,11732,9174,11192,14152,14653,2018-11-20 17:15:52
14581,10810,21283,16320,7255,8377,11794,11732,9181,11192,14152,14653,2018-11-20 17:17:52
14577,10810,21301,16320,7254,8377,11799,11732,9181,11192,14151,14653,2018-11-20 17:19:57
14547,10810,21237,16320,7245,8377,11784,11732,9180,11192,14163,14653,2018-11-20 17:21:52
14523,10810,21251,16320,7240,8377,11790,11732,9180,11192,14163,14653,2018-11-20 17:23:52
14501,10810,21270,16320,7233,8377,11796,11732,9179,11192,14165,14653,2018-11-20 17:25:52
14497,10810,21324,16320,7232,8377,11808,11732,9178,11192,14154,14653,2018-11-20 17:27:53
14574,10810,21343,16320,7255,8377,11813,11732,9186,11192,14150,14653,2018-11-20 17:29:53
14544,10810,21367,16320,7247,8377,11820,11732,9184,11192,14173,14653,2018-11-20 17:31:53
14545,10810,21256,16320,7248,8377,11796,11732,9187,11192,14175,14653,2018-11-20 17:33:53
14520,10810,21308,16320,7241,8377,11808,11732,9184,11192,14165,14653,2018-11-20 17:35:58
14609,10810,21330,16320,7236,8377,11815,11732,9184,11192,14165,14653,2018-11-20 17:37:53
14577,10810,21348,16320,7258,8377,11820,11732,9190,11192,14163,14653,2018-11-20 17:39:55
14588,10810,21291,16320,7261,8377,11807,11732,9191,11192,14173,14653,2018-11-20 17:41:53
14563,10810,21311,16320,7256,8377,11813,11732,9192,11192,14174,14653,2018-11-20 17:43:53
14536,10810,21328,16320,7247,8377,11817,11732,9189,11192,14172,14653,2018-11-20 17:45:54
14536,10810,21347,16320,7247,8377,11823,11732,9190,11192,14169,14653,2018-11-20 17:47:54
14515,10810,21280,16320,7241,8377,11808,11732,9188,11192,14185,14653,2018-11-20 17:49:54
14594,10810,21294,16320,7264,8377,11813,11732,9195,11192,14185,14653,2018-11-20 17:51:54
13863,10810,21450,16320,6614,8377,11966,11732,8256,11192,14558,14653,2018-11-20 17:53:54
13857,10810,21526,16320,6603,8377,11990,11732,8256,11192,14560,14653,2018-11-20 17:55:54
13838,10810,21548,16320,6595,8377,11995,11732,8252,11192,14554,14653,2018-11-20 17:57:54
13927,10810,21570,16320,6589,8377,11999,11732,8249,11192,14572,14653,2018-11-20 17:59:55
13923,10810,21454,16320,6619,8377,11973,11732,8259,11192,14575,14653,2018-11-20 18:01:55
13893,10810,21510,16320,6611,8377,11989,11732,8257,11192,14573,14653,2018-11-20 18:03:55
13867,10810,21519,16320,6603,8377,11991,11732,8255,11192,14571,14653,2018-11-20 18:05:57
13864,10810,21533,16320,6602,8377,11995,11732,8255,11192,14571,14653,2018-11-20 18:07:55
13945,10810,21594,16320,6595,8377,12009,11732,8252,11192,14558,14653,2018-11-20 18:09:55
13907,10810,21473,16320,6616,8377,11982,11732,8261,11192,14583,14653,2018-11-20 18:11:56
13879,10810,21482,16320,6607,8377,11985,11732,8259,11192,14582,14653,2018-11-20 18:13:56
13869,10810,21490,16320,6604,8377,11986,11732,8257,11192,14581,14653,2018-11-20 18:15:56
13851,10810,21544,16320,6599,8377,12002,11732,8257,11192,14576,14653,2018-11-20 18:17:56
13922,10810,21558,16320,6621,8377,12005,11732,8265,11192,14577,14653,2018-11-20 18:19:56
13912,10810,21569,16320,6618,8377,12009,11732,8264,11192,14575,14653,2018-11-20 18:21:59
13883,10810,21492,16320,6610,8377,11991,11732,8262,11192,14589,14653,2018-11-20 18:23:56
13859,10810,21505,16320,6603,8377,11996,11732,8260,11192,14593,14653,2018-11-20 18:25:56
13930,10810,21512,16320,6625,8377,11998,11732,8268,11192,14591,14653,2018-11-20 18:27:56
13921,10810,21522,16320,6622,8377,12001,11732,8268,11192,14592,14653,2018-11-20 18:29:57
13890,10810,21572,16320,6614,8377,12015,11732,8265,11192,14586,14653,2018-11-20 18:31:57
13863,10810,21585,16320,6605,8377,12019,11732,8262,11192,14587,14653,2018-11-20 18:33:57
13856,10810,21590,16320,6603,8377,12019,11732,8262,11192,14583,14653,2018-11-20 18:35:57
13926,10810,21512,16320,6624,8377,12002,11732,8270,11192,14600,14653,2018-11-20 18:37:57
13893,10810,21518,16320,6615,8377,12004,11732,8267,11192,14599,14653,2018-11-20 18:39:57
13868,10810,21529,16320,6608,8377,12007,11732,8264,11192,14599,14653,2018-11-20 18:41:58
13864,10810,21539,16320,6607,8377,12009,11732,8266,11192,14599,14653,2018-11-20 18:43:58
13937,10810,21595,16320,6629,8377,12024,11732,8273,11192,14591,14653,2018-11-20 18:45:58
13904,10810,21605,16320,6619,8377,12026,11732,8271,11192,14588,14653,2018-11-20 18:47:58
13894,10810,21613,16320,6616,8377,12027,11732,8269,11192,14586,14653,2018-11-20 18:49:58
13868,10810,21529,16320,6609,8377,12010,11732,8267,11192,14606,14653,2018-11-20 18:51:58
13943,10810,21535,16320,6631,8377,12011,11732,8274,11192,14604,14653,2018-11-20 18:53:59
13908,10810,21543,16320,6621,8377,12014,11732,8272,11192,14605,14653,2018-11-20 18:55:58
13898,10810,21593,16320,6619,8377,12027,11732,8272,11192,14596,14653,2018-11-20 18:57:59
