R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
6370,6333,12511,12585,5285,5263,8894,8953,7166,7151,11674,11743,2018-11-07 15:26:58
6310,6333,12470,12585,5261,5263,8898,8953,7162,7151,11722,11743,2018-11-07 15:28:58
6322,6333,12545,12585,5272,5263,8941,8953,7175,7151,11760,11743,2018-11-07 15:30:58
6338,6333,12577,12585,5283,5263,8966,8953,7188,7151,11793,11743,2018-11-07 15:32:58
6285,6333,12509,12585,5260,5263,8948,8953,7181,7151,11813,11743,2018-11-07 15:34:59
6294,6333,12569,12585,5268,5263,8978,8953,7190,7151,11834,11743,2018-11-07 15:36:59
6305,6333,12500,12585,5275,5263,8958,8953,7199,7151,11845,11743,2018-11-07 15:38:59
6316,6333,12551,12585,5282,5263,8983,8953,7207,7151,11863,11743,2018-11-07 15:40:59
6327,6333,12557,12585,5289,5263,8992,8953,7214,7151,11878,11743,2018-11-07 15:42:59
6338,6333,12615,12585,5295,5263,9019,8953,7221,7151,11895,11743,2018-11-07 15:44:59
6347,6333,12525,12585,5301,5263,8986,8953,7208,7151,11894,11743,2018-11-07 15:46:59
6282,6333,12569,12585,5271,5263,9006,8953,7212,7151,11906,11743,2018-11-07 15:49:00
6288,6333,12617,12585,5275,5263,9028,8953,7216,7151,11917,11743,2018-11-07 15:51:00
6292,6333,12606,12585,5278,5263,9026,8953,7219,7151,11922,11743,2018-11-07 15:53:00
6295,6333,12656,12585,5280,5263,9048,8953,7222,7151,11933,11743,2018-11-07 15:55:00
6299,6333,12552,12585,5282,5263,9008,8953,7225,7151,11927,11743,2018-11-07 15:57:00
6300,6333,12588,12585,5284,5263,9024,8953,7227,7151,11937,11743,2018-11-07 15:59:00
6302,6333,12628,12585,5285,5263,9042,8953,7229,7151,11945,11743,2018-11-07 16:01:00
6304,6333,12612,12585,5287,5263,9036,8953,7232,7151,11946,11743,2018-11-07 16:03:01
6305,6333,12653,12585,5288,5263,9054,8953,7233,7151,11953,11743,2018-11-07 16:05:01
6306,6333,12546,12585,5289,5263,9011,8953,7234,7151,11943,11743,2018-11-07 16:07:01
6306,6333,12577,12585,5289,5263,9025,8953,7236,7151,11951,11743,2018-11-07 16:09:01
6307,6333,12610,12585,5290,5263,9041,8953,7237,7151,11960,11743,2018-11-07 16:11:01
6306,6333,12588,12585,5289,5263,9031,8953,7237,7151,11958,11743,2018-11-07 16:13:01
6307,6333,12621,12585,5290,5263,9046,8953,7238,7151,11964,11743,2018-11-07 16:15:01
6306,6333,12653,12585,5289,5263,9058,8953,7238,7151,11967,11743,2018-11-07 16:17:01
6303,6333,12690,12585,5289,5263,9076,8953,7238,7151,11957,11743,2018-11-07 16:19:02
6301,6333,12570,12585,5288,5263,9026,8953,7238,7151,11962,11743,2018-11-07 16:21:02
6300,6333,12695,12585,5287,5263,9017,8953,7238,7151,11959,11743,2018-11-07 16:23:02
6297,6333,12570,12585,5286,5263,9027,8953,7237,7151,11965,11743,2018-11-07 16:25:02
6294,6333,12592,12585,5285,5263,9036,8953,7238,7151,11969,11743,2018-11-07 16:27:02
6291,6333,12617,12585,5283,5263,9047,8953,7237,7151,11973,11743,2018-11-07 16:29:03
6361,6333,12640,12585,5282,5263,9057,8953,7236,7151,11976,11743,2018-11-07 16:31:02
6355,6333,12611,12585,5314,5263,9045,8953,7255,7151,11973,11743,2018-11-07 16:33:03
6350,6333,12634,12585,5313,5263,9054,8953,7256,7151,11977,11743,2018-11-07 16:35:03
