R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,timestamp
4555,4562,6754,6840,4357,4362,5900,5928,6211,6154,8024,8018,2018-11-07 16:05:41
4549,4562,6753,6840,4365,4362,5912,5928,6235,6154,8053,8018,2018-11-07 16:07:41
4534,4562,6729,6840,4365,4362,5909,5928,6249,6154,8068,8018,2018-11-07 16:09:41
4559,4562,6718,6840,4380,4362,5911,5928,6260,6154,8080,8018,2018-11-07 16:11:41
4538,4562,6706,6840,4375,4362,5910,5928,6269,6154,8089,8018,2018-11-07 16:13:42
4563,4562,6694,6840,4388,4362,5908,5928,6278,6154,8095,8018,2018-11-07 16:15:42
4546,4562,6774,6840,4384,4362,5950,5928,6284,6154,8122,8018,2018-11-07 16:17:42
4572,4562,6738,6840,4397,4362,5936,5928,6291,6154,8121,8018,2018-11-07 16:19:42
4545,4562,6722,6840,4389,4362,5931,5928,6295,6154,8124,8018,2018-11-07 16:21:42
4568,4562,6706,6840,4400,4362,5925,5928,6301,6154,8125,8018,2018-11-07 16:23:42
4547,4562,6777,6840,4393,4362,5961,5928,6305,6154,8147,8018,2018-11-07 16:25:42
4567,4562,6737,6840,4403,4362,5944,5928,6310,6154,8142,8018,2018-11-07 16:27:44
4543,4562,6718,6840,4394,4362,5936,5928,6311,6154,8141,8018,2018-11-07 16:29:43
4559,4562,6785,6840,4402,4362,5970,5928,6315,6154,8161,8018,2018-11-07 16:31:43
4586,4562,6758,6840,4414,4362,5959,5928,6319,6154,8157,8018,2018-11-07 16:33:43
4557,4562,6725,6840,4403,4362,5943,5928,6320,6154,8150,8018,2018-11-07 16:35:43
4577,4562,6791,6840,4412,4362,5977,5928,6323,6154,8169,8018,2018-11-07 16:37:43
4550,4562,6764,6840,4401,4362,5964,5928,6322,6154,8165,8018,2018-11-07 16:39:43
4571,4562,6741,6840,4411,4362,5954,5928,6326,6154,8160,8018,2018-11-07 16:41:43
4592,4562,6790,6840,4420,4362,5979,5928,6328,6154,8175,8018,2018-11-07 16:43:44
4561,4562,6764,6840,4408,4362,5966,5928,6328,6154,8169,8018,2018-11-07 16:45:44
4580,4562,6743,6840,4416,4362,5957,5928,6329,6154,8165,8018,2018-11-07 16:47:44
4557,4562,6805,6840,4406,4362,5987,5928,6328,6154,8182,8018,2018-11-07 16:49:44
4573,4562,6759,6840,4413,4362,5965,5928,6331,6154,8170,8018,2018-11-07 16:51:44
4592,4562,6827,6840,4422,4362,5999,5928,6333,6154,8189,8018,2018-11-07 16:53:44
4562,4562,6790,6840,4409,4362,5981,5928,6331,6154,8180,8018,2018-11-07 16:55:45
4577,4562,6763,6840,4416,4362,5968,5928,6334,6154,8174,8018,2018-11-07 16:57:45
4602,4562,6829,6840,4426,4362,6001,5928,6335,6154,8191,8018,2018-11-07 16:59:45
4570,4562,6779,6840,4413,4362,5977,5928,6334,6154,8179,8018,2018-11-07 17:01:45
4586,4562,6754,6840,4420,4362,5965,5928,6336,6154,8172,8018,2018-11-07 17:03:45
4607,4562,6815,6840,4409,4362,5995,5928,6334,6154,8190,8018,2018-11-07 17:05:45
4578,4562,6783,6840,4417,4362,5980,5928,6336,6154,8181,8018,2018-11-07 17:07:45
4596,4562,6835,6840,4425,4362,6005,5928,6338,6154,8195,8018,2018-11-07 17:09:45
4566,4562,6800,6840,4412,4362,5988,5928,6336,6154,8186,8018,2018-11-07 17:11:46
4582,4562,6772,6840,4420,4362,5974,5928,6339,6154,8178,8018,2018-11-07 17:13:46
4606,4562,6835,6840,4428,4362,6006,5928,6339,6154,8195,8018,2018-11-07 17:15:46
